english,hex,german
Aliceblue,#A0CE00,Aliceblau
Antiquewhite,#FAEBD7,Antikes Weiß
Antiquewhite,#FAEBD7,Antikweiß
Aqua,#00FFFF,Blaugrün
Aquamarine,#7FFFD4,Aquamarinblau
Azure,#F0FFFF,Himmelblau
Beige,#F5F5DC,Beige
Bisque,#FFE4C4,Tomatencreme
Black,#000000,Schwarz
Blanchedalmond,#FFEBCD,Mandelweiß
Blue,#0000FF,Blau
Blueviolet,#8A2BE2,Blauviolett
Brown,#A52A2A,Braun
Burlywood,#DEB887,Grobes Braun
Burlywood,#DEB887,Grobbraun
Cadetblue,#5F9EA0,Kadettblau
Chartreuse,#7FFF00,Hellgrün
Chocolate,#D2691E,Schokolade
Coral,#FF7F50,Koralle
Cornflowerblue,#6495ED,Kornblumenblau
Cornsilk,#FFF8DC,Mais
Crimson,#DC143C,Karmesinrot
Cyan,#00FFFF,Zyanblau
Cyan,#00FFFF,Zyan
Darkblue,#00008B,Dunkelblau
Darkcyan,#008B8B,Dunkles Zyanblau
Darkcyan,#008B8B,Dunkelzyan
Darkgoldenrod,#B8860B,dunkle Goldrutenfarbe
Darkgoldenrod,#B8860B,Dunkelgoldruten
Darkgray,#A9A9A9,Dunkelgrau
Darkgreen,#006400,Dunkelgrün
Darkkhaki,#BDB76B,Dunkles Khaki
Darkkhaki,#BDB76B,Dunkelkhaki
Darkmagenta,#8B008B,Dunkles Magentarot
Darkmagenta,#8B008B,Dunkelmagenta
Darkolivegreen,#556B2F,Dunkelolivgrün
Darkolivegreen,#556B2F,Dunkles Olivgrün
Darkorange,#FF8C00,Dunkles Orange
Darkorange,#FF8C00,Dunkelorange
Darkorchid,#9932CC,Dunkle Orchideenfarbe
Darkorchid,#9932CC,Dunkelorchideenfarbe
Darkred,#8B0000,Dunkelrot
Darksalmon,#E9967A,Dunkle Lachsfarbe
Darksalmon,#E9967A,Dunkellachsfarbe
Darkseagreen,#8FBC8F,Dunkles Seegrün
Darkseagreen,#8FBC8F,Dunkelseegrün
Darkslateblue,#483D8B,Dunkles Schieferblau
Darkslateblue,#483D8B,Dunkelschieferblau
Darkslategray,#8FBC8F,Dunkles Schiefergrau
Darkslategray,#8FBC8F,Dunkelschiefergrau
Darkturquoise,#00CED1,Dunkles Türkis
Darkturquoise,#00CED1,Dunkeltürkis
Darkviolet,#9400D3,Dunkles Violett
Darkviolet,#9400D3,Dunkelviolett
Deeppink,#FF1493,Tiefrosa
Deepskyblue,#00BFFF,Tiefes Himmelblau
Deepskyblue,#00BFFF,Tiefhimmelblau
Dimgray,#696969,Mattes Grau
Dimgray,#696969,Mattgrau
Dodgerblue,#1E90FF,Dodger-Blau
Firebrick,#B22222,Ziegelfarbe
Floralwhite,#FFFAF0,Blütenweiß
Forestgreen,#228B22,Waldgrün
Fuchsia,#FF00FF,Fuchsie
Gainsboro,#DCDCDC,Gainsboro
Ghostwhite,#F8F8FF,Geisterweiß
Gold,#FFD700,Gold
Goldenrod,#DAA520,Goldrute
Gray,#808080,Grau
Green,#008000,Grün
Greenyellow,#ADFF2F,Grüngelb
Honeydew,#F0FFF0,Honigmelone
Hotpink,#FF69B4,Leuchtendes Rosa
Hotpink,#FF69B4,Leuchtendrosa
Indianred,#CD5C5C,Indischrot
Indigo,#4B0082,Indigo
Ivory,#FFFFF0,Elfenbein
Khaki,#F0E68C,Khaki
Lavender,#E6E6FA,Lavendelfarbe
Lavender,#E6E6FA,Lavendel
Lavenderblush,#FFF0F5,Rosige Lavenderfarbe
Lavenderblush,#FFF0F5,Rosiglavenderfarbe
Lemonchiffon,#FFFACD,Chiffongelb
Lightblue,#ADD8E6,Hellblau
Lightcoral,#F08080,Helles Korallenrot
Lightcoral,#F08080,Hellkorallenrot
Lightcyan,#E0FFFF,Helles Cyanblau
Lightcyan,#E0FFFF,Hellcyanblau
Lightgoldenrodyellow,#FAFAD2,Helles Goldrutengelb
Lightgoldenrodyellow,#FAFAD2,Hellgoldrutengelb
Lightgray,#D3D3D3,Hellgrau
Lightgreen,#90EE90,Hellgrün
Lightpink,#FFB6C1,Hellrosa
Lightsalmon,#FFA07A,Helle Lachsfarbe
Lightsalmon,#FFA07A,Helllachsfarbe
Lightseagreen,#20B2AA,Helles Seegrün
Lightseagreen,#20B2AA,Hellseegrün
Lightskyblue,#87CEFA,Helles Himmelblau
Lightskyblue,#87CEFA,Hellhimmelblau
Lightslategray,#778899,Helles Schiefergrau
Lightslategray,#778899,Hellschiefergrau
Lightsteelblue,#B0C4DE,Helles Stahlblau
Lightsteelblue,#B0C4DE,Hellstahlblau
Lightyellow,#FFFFE0,Hellgelb
Lime,#00FF00,Zitronengrün
Limegreen,#32CD32,Gelbgrün
